Iter Time Cost State_0
0 85.43177056312561 -0.2374390949915833 -0.2374390949915833
1 169.24158668518066 0.06195410389581837 0.06195410389581837
2 256.2653651237488 -1.7565466427248142 -1.7565466427248142
3 341.70862078666687 0.44099475195503984 0.44099475195503984
4 427.1453421115875 -2.4692497658218926 -2.4692497658218926
5 512.568220615387 -2.674015599220052 -2.674015599220052
6 599.6189284324646 0.8145699372917371 0.8145699372917371
7 686.6521990299225 -3.575877041667323 -3.575877041667323
8 772.0847747325897 -4.628861075455657 -4.628861075455657
9 857.4914646148682 -9.416897203785348 -9.416897203785348
10 942.9850046634674 -8.640215166070647 -8.640215166070647
11 1028.465585231781 -7.673210042968661 -7.673210042968661
12 1113.8799984455109 -7.174422725495193 -7.174422725495193
13 1199.1643452644348 -4.570028125814681 -4.570028125814681
14 1284.4286074638367 -8.91319643447351 -8.91319643447351
15 1369.6995725631714 -3.2401558186779367 -3.2401558186779367
16 1454.9877753257751 -9.597223894922703 -9.597223894922703
17 1540.284434080124 -11.574414693345792 -11.574414693345792
18 1625.5259263515472 -11.899577882358935 -11.899577882358935
19 1710.7553107738495 -12.601512227711124 -12.601512227711124
20 1796.0386519432068 -12.587666969504783 -12.587666969504783
21 1881.2893657684326 -12.733996820448047 -12.733996820448047
22 1966.5791127681732 -12.84502052692282 -12.84502052692282
23 2051.8390254974365 -12.903115221129143 -12.903115221129143
24 2135.4999721050262 -12.887852062359155 -12.887852062359155
25 2220.7283940315247 -12.913785974474363 -12.913785974474363
26 2305.99423623085 -12.908979436373102 -12.908979436373102
27 2391.238918066025 -12.91625728673312 -12.91625728673312
28 2476.4806582927704 -12.924931818793658 -12.924931818793658
29 2561.720381498337 -12.926790322789639 -12.926790322789639
30 2645.33469748497 -12.929109448699649 -12.929109448699649
31 2728.9930176734924 -12.929397648698457 -12.929397648698457
32 2814.1819031238556 -12.930191930020863 -12.930191930020863
33 2897.8471891880035 -12.930972926998017 -12.930972926998017
34 2981.506650686264 -12.931267709532051 -12.931267709532051
35 3065.1766872406006 -12.931875282154113 -12.931875282154113
36 3148.837136030197 -12.932601414498164 -12.932601414498164
37 3232.4922976493835 -12.933531784764359 -12.933531784764359
38 3316.1185615062714 -12.908366290308836 -12.908366290308836
39 3401.359722852707 -9.629412013022945 -9.629412013022945
40 3486.5759043693542 -12.938629591825034 -12.938629591825034
41 3570.256415128708 -12.943201499661692 -12.943201499661692
42 3653.9396471977234 -12.947181650743845 -12.947181650743845
43 3737.6103298664093 -12.942804747437659 -12.942804747437659
44 3822.908837556839 -12.951886260456268 -12.951886260456268
45 3908.1755397319794 -12.974493428432432 -12.974493428432432
46 3991.8931062221527 -12.965039297410407 -12.965039297410407
47 4077.160415649414 -12.988223426134029 -12.988223426134029
48 4160.80393743515 -12.99675221774697 -12.99675221774697
49 4244.502267599106 -13.007229494692421 -13.007229494692421
50 4328.147068023682 -13.01313077251119 -13.01313077251119
