Iter Energy Num_walker Shift
0 -676.4506797886692 1 -676.4424852375571 
1 -676.4506797886692 1 -676.4424852375571 
2 -676.4506797886692 1 -676.4424852375571 
3 -676.4506797886692 1 -676.4424852375571 
4 -676.4506797886692 1 -676.4424852375571 
5 -676.4506797886692 1 -676.4424852375571 
6 -676.4506797886692 1 -676.4424852375571 
7 -676.4506797886692 1 -676.4424852375571 
8 -676.4506797886692 1 -676.4424852375571 
9 -676.4506797886692 1 -676.4424852375571 
10 -676.4506797886692 1 -676.4424852375571 
11 -676.4506797886692 1 -676.4424852375571 
12 -676.4506797886692 1 -676.4424852375571 
13 -676.473930135626 2 -676.4424852375571 
14 -676.473930135626 2 -676.4424852375571 
15 -676.473930135626 2 -676.4424852375571 
16 -676.4950344097646 3 -676.4424852375571 
17 -676.4950344097646 3 -676.4424852375571 
18 -676.4950344097646 3 -676.4424852375571 
19 -676.5093734304946 4 -676.4424852375571 
20 -676.5093734304946 4 -676.4424852375571 
21 -676.5096031678383 6 -676.4424852375571 
22 -676.5096031678383 6 -676.4424852375571 
23 -676.5096031678383 6 -676.4424852375571 
24 -676.5096031678383 6 -676.4424852375571 
25 -676.5098854405522 7 -676.4424852375571 
26 -676.5073379668231 9 -676.4424852375571 
27 -676.5073379668232 9 -676.4424852375571 
28 -676.5085529462166 10 -676.4424852375571 
29 -676.4850194891338 10 -676.4424852375571 
30 -676.4873038796035 10 -676.4424852375571 
31 -676.4799952305111 10 -676.4424852375571 
32 -676.4785172581874 11 -676.4424852375571 
33 -676.4714825105436 15 -676.4424852375571 
34 -676.4614025999449 17 -676.4424852375571 
35 -676.4614025999449 17 -676.4424852375571 
36 -676.4663141367643 18 -676.4424852375571 
37 -676.4677593615155 17 -676.4424852375571 
38 -676.4768026429593 20 -676.4424852375571 
39 -676.4460676428961 16 -676.4424852375571 
40 -676.4588553805108 15 -676.4424852375571 
41 -676.4622327118827 14 -676.4424852375571 
42 -676.440233031627 14 -676.4424852375571 
43 -676.440233031627 14 -676.4424852375571 
44 -676.4534234130517 14 -676.4424852375571 
45 -676.4215866606877 16 -676.4424852375571 
46 -676.4215866606877 16 -676.4424852375571 
47 -676.4173502834057 15 -676.4424852375571 
48 -676.4173502834057 15 -676.4424852375571 
49 -676.4173502834057 15 -676.4424852375571 
50 -676.4441762367361 14 -676.4424852375571 
51 -676.4117309509911 18 -676.4424852375571 
52 -676.4117309509911 18 -676.4424852375571 
53 -676.4110552165248 17 -676.4424852375571 
54 -676.4110552165248 17 -676.4424852375571 
55 -676.4265271848178 17 -676.4424852375571 
56 -676.4265271848179 17 -676.4424852375571 
57 -676.4265271848178 17 -676.4424852375571 
58 -676.4264997920314 16 -676.4424852375571 
59 -676.4392787736118 16 -676.4424852375571 
60 -676.4393571190918 17 -676.4424852375571 
61 -676.4393571190918 17 -676.4424852375571 
62 -676.4393571190918 17 -676.4424852375571 
63 -676.4395599597858 18 -676.4424852375571 
64 -676.4410007137775 19 -676.4424852375571 
65 -676.4401085930066 21 -676.4424852375571 
66 -676.432874697172 22 -676.4424852375571 
67 -676.4328685238506 25 -676.4424852375571 
68 -676.4328685238505 25 -676.4424852375571 
69 -676.4333591927664 26 -676.4424852375571 
70 -676.4274790797178 25 -676.4424852375571 
71 -676.4512487945283 26 -676.4424852375571 
72 -676.4526848993509 28 -676.4424852375571 
73 -676.453636974524 29 -676.4424852375571 
74 -676.446528269155 31 -676.4424852375571 
75 -676.446528269155 31 -676.4424852375571 
76 -676.4455257484499 28 -676.4424852375571 
77 -676.4483585292551 28 -676.4424852375571 
78 -676.4473548569924 28 -676.4424852375571 
79 -676.4521557683806 30 -676.4424852375571 
80 -676.4554806177418 34 -676.4424852375571 
81 -676.4602018338405 33 -676.4424852375571 
82 -676.4640632432385 32 -676.4424852375571 
83 -676.4651092795325 31 -676.4424852375571 
84 -676.461270210214 30 -676.4424852375571 
85 -676.4923573932525 30 -676.4424852375571 
86 -676.5071975614038 31 -676.4424852375571 
87 -676.5067160575262 33 -676.4424852375571 
88 -676.4992274704782 31 -676.4424852375571 
