File,Division,init_HF,Depth,QMCEnergy,QMCEnergyEB,QMCSD,QMCSDEB,VQEEnergy,VQEEnergyEB,Fidelity,FidelityEB
Heisenberg,Cluster,FALSE,4,-13.49868815,0.000408399,0.015072311,0.002198132,-13.02519468,0.063612698,0.915144251,0.014543341
Heisenberg,EvenOdd,FALSE,4,-13.5046562,0.003999085,0.072163248,0.031392674,-8.985047508,0.001899724,0.22207009,0.000379686
Heisenberg,nodev,FALSE,2,-13.5051456,0.002393524,0.054148622,0.010607343,-11.63473988,4.37E-07,0.332174668,7.64E-06
Heisenberg,nodev,FALSE,4,-13.50445419,0.002855706,0.049521192,0.013107609,-11.75239131,0.043245642,0.345662933,0.007910441
Heisenberg,nodev,FALSE,6,-13.50033648,0.003334067,0.033362875,0.013989437,-12.18590944,0.240506947,0.494265549,0.129274798
Heisenberg,nodev,FALSE,8,-13.50052869,0.002373068,0.017217815,0.010862888,-12.60969568,0.495711054,0.658459993,0.242537107
Heisenberg,nodev,FALSE,10,-13.50027368,0.002723423,0.015179382,0.012752404,-13.01218982,0.413289994,0.810921667,0.220181214
Graphite,nodev,FALSE,2,-28.38350875,3.356012845,129.9831729,389.2989075,-21.64797672,1.812702426,0.262265137,0.188949341
Graphite,nodev,FALSE,4,-27.26241556,0.005958198,0.071751238,0.019581894,-24.43146432,1.539195319,0.631161967,0.279972372
Graphite,nodev,FALSE,6,-27.26210655,0.005075839,0.059516183,0.0329637,-26.37144585,1.278782937,0.934128904,0.156303014
Graphite,nodev,FALSE,8,-27.26499088,0.005040595,0.03955717,0.027675627,-26.97187353,0.227233884,0.99144841,0.006464814
Graphite,nodev,FALSE,10,-27.26949875,0.000119121,0.002965055,0.005723905,-27.25992661,0.013598803,0.999661742,0.000292832
Graphite,Horizontal,FALSE,4,-27.26964892,1.06E-05,0.002292094,0.000116303,-27.2525101,0.001212897,0.999076872,6.77E-05
Graphite,Vertical,FALSE,4,-23.75304522,7.383261942,294.7811202,454.1940873,-14.42592016,0.05495019,8.86E-07,2.64E-06
MABI,AlphaBeta,FALSE,4,-676.4866314,0.010478765,0.10822526,0.294803517,-676.4023876,0.061483944,0.422605618,0.394489372
